Date,Close,High,Low,Open,Volume
2016-04-25,60.57905197143555,60.77367951754579,60.38443088127602,60.587515722818786,8937500
2016-04-26,60.350616455078125,60.69755944250127,60.17291631125933,60.69755944250127,7433500
2016-04-27,60.28289794921875,60.53675889666226,60.02904345772731,60.39290737255524,9121200
2016-04-28,59.99518585205078,60.579055613583634,59.66517054372101,59.93595250070829,19512000
2016-04-29,59.055931091308594,59.5721103940454,58.700530853476074,59.45364364810123,13577900
2016-05-02,59.39440155029297,59.41978635555871,58.92052818017321,59.16592539099625,9074800
2016-05-03,59.20823669433594,59.572100627497505,58.97976053893437,59.18285188950296,9436800
2016-05-04,58.64128112792969,58.937447910201726,58.48050210785988,58.83590224658632,11802000
2016-05-05,58.886688232421875,58.97131287028606,58.52283069580107,58.64975474069045,10145200
2016-05-06,58.53973007202149,58.84436057885551,58.057399512192795,58.67511782175268,14164300
2016-05-09,59.20823669433594,59.39440053771428,58.51435738644091,58.53974219127389,13606600
2016-05-10,59.70746994018555,59.71593369116318,59.284372774609515,59.445151763432534,11073000
2016-05-11,58.988224029541016,59.76672150205929,58.97976027598362,59.61440621778812,8452500
2016-05-12,58.64128112792969,59.29284804892817,58.30280203849665,59.11514797956495,11322900
2016-05-13,58.50590133666992,58.95438349697987,58.45513172031883,58.5735984624402,11947300
2016-05-16,59.301300048828125,59.42823048920357,58.48895426875587,58.51433906564088,8338100
2016-05-17,58.68359375,59.343624499774776,58.472045101690014,59.19130921475349,14920000
2016-05-18,58.92897415161133,59.22514088359512,58.53126177325428,58.59049511965104,11515200
2016-05-19,58.42974090576172,58.861295512290106,58.057413208252434,58.5905134929977,8765700
2016-05-20,58.97130584716797,59.174390750758256,58.624362949913234,58.649747755867935,7925700
2016-05-23,58.73435974121094,58.99667795421633,58.68358368427829,58.886668544155,5061400
2016-05-24,59.580570220947266,59.67364569580693,58.95438151257947,59.03054239049578,11936400
2016-05-25,59.95288848876953,60.071355220976365,59.73287607640567,59.74133983040693,8949200
2016-05-26,59.96134567260742,60.07981239183347,59.76671808762063,59.97826672280314,5257700
2016-05-27,60.232120513916016,60.367508267258415,59.91902624688792,59.91902624688792,9641300
2016-05-31,60.37596893310547,60.51982043116331,60.11365073594695,60.418281235334675,7669800
2016-06-01,60.59599304199219,60.73138081468456,60.13904720424514,60.189816812010754,9301700
2016-06-02,61.37446975708008,61.37446975708008,60.46904214070985,60.54520298258397,12473100
2016-06-03,61.17138671875,61.39139904440538,60.68059247534574,61.18830776413111,13896000
2016-06-06,61.50139999389648,61.61140292519803,61.02753326712065,61.17984849443431,9117600
2016-06-07,61.12063980102539,61.306797193078395,60.96832451228925,61.24756382834504,6439100
2016-06-08,61.3321647644043,61.442167697575904,60.93445241654914,61.06984014537958,4621300
2016-06-09,61.23064804077149,61.628360576438446,61.05294793129429,61.19679947859205,9608500
2016-06-10,60.73984146118164,60.90908423833071,60.460595720849554,60.8752356829009,10270900
2016-06-13,60.25750350952149,60.97676747098681,60.240582461842166,60.5198217122327,8538400
2016-06-14,60.350616455078125,60.37600126763019,59.85982189255705,60.1136829299864,8000500
2016-06-15,59.93595504760742,60.63829799762151,59.88517899004827,60.51136753765067,7861100
2016-06-16,60.14754104614258,60.24908031246852,59.46211871866554,59.75829212799724,9341200
2016-06-17,59.52305603027344,60.262211383340414,59.30216439257368,60.23672438529372,10799100
2016-06-20,59.89686965942383,60.32167015346229,59.820408681828646,60.03280892884788,7983700
2016-06-21,59.692989349365234,60.16026617673671,59.55705002958504,60.10079434481876,7014900
2016-06-22,59.862884521484375,60.53407007630369,59.64198645082383,59.6929669175554,11207600
2016-06-23,60.644500732421875,60.6529985550794,60.10925457990818,60.38962439015132,7626900
2016-06-24,58.8858528137207,59.81192142495768,58.66496118478977,58.91983763708137,22576500
2016-06-27,58.09572219848633,58.69044687110276,57.84933709608065,58.4865379354926,18241500
2016-06-28,59.22569274902344,59.276666741530015,58.495035274032894,58.50353310009801,13652400
2016-06-29,60.35566329956055,60.52558092784715,59.641995000484314,59.641995000484314,8968400
2016-06-30,60.92488479614258,60.95886961278402,60.17723827585388,60.47459731904024,9535200
2016-07-01,61.307220458984375,61.45165109496322,60.86542424288861,61.06083535422754,6793100
2016-07-05,61.24774169921875,61.4941268021324,60.9418912590572,60.9418912590572,8359800
2016-07-06,61.935909271240234,62.06335070749433,61.08630833880056,61.1542779690615,18791500
2016-07-07,61.84248733520508,62.318262049994125,61.562117314585386,62.309764220960226,8022400
2016-07-08,62.60711288452149,62.62410205602769,61.816983529659865,62.148327470542874,11013200
2016-07-11,62.43718338012695,62.95544057263786,62.37771156206548,62.79402077043786,7375100
2016-07-12,62.7430419921875,62.836498634801686,62.52214388401376,62.5731243594029,10237200
2016-07-13,62.717567443847656,63.02342442912117,62.658095612374666,62.93846559586597,6401900
2016-07-14,62.989410400390625,63.431206499630576,62.76002100874178,63.13384099816733,4813200
2016-07-15,62.938453674316406,63.40573040968207,62.861986201510454,63.22731494905784,7131300
2016-07-18,62.96392059326172,63.08286419574899,62.734524729936126,62.95542276967257,3954300
2016-07-19,62.8279914855957,63.1933201756198,62.64108471004444,63.04039173602968,6634700
2016-07-20,63.39723587036133,63.50768167891251,63.03190714122502,63.11686595410608,6855000
2016-07-21,63.584129333496094,63.71157076706652,63.33775077238466,63.39722257712545,9230800
2016-07-22,63.71158599853515,63.78805346973464,63.38873990732273,63.57565319031912,5446500
2016-07-25,63.643592834472656,63.77952557861141,63.25277080046847,63.72855160980176,5868400
2016-07-26,63.533172607421875,63.62662925195879,63.27829615300129,63.39723979478603,6904200
2016-07-27,63.822017669677734,63.92396562241212,63.28676499006209,63.40570858954556,7983100
2016-07-28,63.76256561279297,63.92398541524964,63.44821087000128,63.72008296470635,5470100
2016-07-29,63.88999938964844,64.00894302371994,63.49069232208949,63.64362077760169,4889200
2016-08-01,64.29780578613281,64.56967785466426,63.94946625479551,63.94946625479551,9255100
2016-08-02,64.05142211914062,64.34878118782983,63.66060641715745,64.34878118782983,12149300
2016-08-03,63.87299346923828,64.05140887355618,63.745552042742574,64.00892623741088,9761200
2016-08-04,63.77955627441406,64.01744355260149,63.694597458196014,63.9154955659167,8415500
2016-08-05,63.932464599609375,64.05990602476739,63.575633794719046,64.05990602476739,8244400
2016-08-08,63.38875961303711,63.88152997013514,63.167861438830386,63.88152997013514,6655500
2016-08-09,63.54164505004883,63.76254307452233,63.36322965864554,63.728558264454115,11261100
2016-08-10,63.32929229736328,63.51620565181137,63.15936811970838,63.51620565181137,7031600
2016-08-11,63.69459533691406,63.76256498040172,63.38024059724012,63.499184232372535,6599800
2016-08-12,63.533172607421875,63.601142254710965,63.30378315024912,63.57565525746314,6211900
2016-08-15,63.643592834472656,63.78802340072604,63.53314059279967,63.53314059279967,4122500
2016-08-16,63.07439804077149,63.55867051745493,63.07439804077149,63.55017917154261,6042300
2016-08-17,63.20182418823242,63.252798179105895,62.81100846700479,62.93844992613034,7296300
2016-08-18,63.22732925415039,63.36326857792051,63.031924578660515,63.19334442320787,4180100
2016-08-19,63.17633819580078,63.21882084349772,62.904466103589506,63.099870726334686,4323500
2016-08-22,63.30378723144531,63.541674530351386,63.13386310226758,63.201832753938675,4090200
2016-08-23,63.363258361816406,63.72008930626525,63.32927353635328,63.52467818033793,8557900
2016-08-24,62.36922454833984,63.473702172157736,62.21629607957214,63.33776935655448,8670400
2016-08-25,61.84248733520508,62.454201386759195,61.570615143619285,62.19931837129687,8766500
2016-08-26,62.080360412597656,62.403206540235665,61.70653380442732,61.91044276267088,9974300
2016-08-29,62.216278076171875,62.369206500686985,61.95289738387659,62.10582580839171,7372100
2016-08-30,62.003875732421875,62.29273692335584,61.85094731312143,62.29273692335584,5497900
2016-08-31,61.81697082519531,61.99538625808464,61.57908358134288,61.918918797165645,4756800
2016-09-01,61.65555191040039,61.89343918261184,61.37518199017603,61.816978194519024,9501400
2016-09-02,61.723514556884766,61.91042781584409,61.553590466039346,61.782986368195346,8052300
2016-09-06,61.94441223144531,62.08034502129696,61.732011980724856,61.82546212765591,8735800
2016-09-07,61.94441223144531,62.165303825196894,61.76599031673184,61.89343176355236,7561600
2016-09-08,61.995391845703125,62.046365836282554,61.68953493834288,61.74900675466616,4822200
2016-09-09,60.75497055053711,61.647047729368005,60.73797490030718,61.647047729368005,14135500
2016-09-12,61.65555191040039,61.816978194519024,60.398139423357286,60.415135075339265,13023400
2016-09-13,60.8314323425293,61.27322850722428,60.508586285207144,61.27322850722428,12194200
2016-09-14,60.8314323425293,61.23074586302388,60.58504726643814,60.80594534878563,13108500
2016-09-15,61.46013641357422,61.630060511544535,60.576557031894815,60.72098765371341,9613600
2016-09-16,61.50191116333008,61.58719887959424,61.26310295497617,61.3995619995917,8691000
2016-09-19,61.28019714355469,61.783406053764146,61.203440101867045,61.65547114391158,9919700
2016-09-20,61.467811584472656,61.698089132061405,61.44222591330029,61.54457510502719,5286600
2016-09-21,62.08192443847656,62.20132863438629,61.29726643477243,61.672533976042736,8485900
2016-09-22,62.550987243652344,62.66186717510137,62.30365472050812,62.33776461491281,6501900
2016-09-23,62.354827880859375,62.61069764559635,62.34629715349123,62.45717708816185,5420400
2016-09-26,61.62986755371094,62.17571693722088,61.48487122759273,62.124539083928255,5534100
2016-09-27,62.06480407714844,62.07333479934349,61.416612345082775,61.553071365031265,7839000
2016-09-28,61.97103118896485,62.13307597051582,61.64692861178575,62.12454524294833,6522600
2016-09-29,60.879302978515625,61.97100795144394,60.70019680898982,61.894244446197945,8857900
2016-09-30,61.50191116333008,61.6724865958584,60.973116911235245,61.00723329914804,7453500
2016-10-03,61.45077133178711,61.45077133178711,60.97314816323621,61.2290179502113,9187900
2016-10-04,61.331356048583984,61.6383906274419,61.024314962688265,61.38252739388734,10594600
2016-10-05,61.57014846801758,61.70660752267051,61.399566515906265,61.493384962808456,12842100
2016-10-06,61.339866638183594,61.425154363750565,60.973123561912914,61.36545230515005,9308900
2016-10-07,61.2972412109375,61.58722085109423,60.93902226357487,61.28017975737653,9920400
2016-10-10,61.57870101928711,61.76633799942809,61.40812549572574,61.40812549572574,11039500
2016-10-11,60.034950256347656,61.28016936659983,59.77055633432552,61.28016936659983,12499700
2016-10-12,59.75351333618164,60.30789352742645,59.69381125448074,60.069085200622865,11746400
2016-10-13,59.779083251953125,60.000836571392306,59.20764826247253,59.40381591179125,13623100
2016-10-14,59.37824630737305,60.07761634371843,59.3611848513184,59.91556504639388,8382400
2016-10-17,59.182071685791016,59.40382503930302,59.05413680849416,59.284420889036134,8463000
2016-10-18,59.88997268676758,60.01790756474666,59.58293158243308,59.727921407524875,5495800
2016-10-19,59.668216705322266,60.017904922601666,59.65116175896035,59.966727069440104,5296700
2016-10-20,59.949668884277344,60.13730581931081,59.634097083808555,59.74497700380336,6876000
2016-10-21,59.45499801635742,59.64263497392861,59.301477460802666,59.64263497392861,5511600
2016-10-24,59.3441276550293,59.77909716236736,59.3441276550293,59.719395082514765,7384700
2016-10-25,59.17353057861328,59.45498595788617,59.09677356992268,59.27587976390443,7922100
2016-10-26,58.8153190612793,59.17353145454531,58.576510799101946,59.079712993398914,8073700
2016-10-27,59.08826446533203,59.497654849259334,58.93474388473922,59.267370724850416,6974700
2016-10-28,57.80891418457031,58.54240049879074,57.55305095147064,58.38034922956783,18469300
2016-10-31,57.45070266723633,57.80038437680905,57.42511699422344,57.79186015716335,12689000
2016-11-01,57.14365005493164,57.64685220815721,56.70014996237752,57.484807476069896,14908700
2016-11-02,56.84513854980469,57.476275535993736,56.84513854980469,57.032775452815706,17942900
2016-11-03,56.30781555175781,57.271585769105656,56.256644215274456,57.03277752280106,22074200
2016-11-04,56.70016098022461,57.16924683178439,56.40164411182365,56.46134618409627,21382600
2016-11-07,58.15008163452149,58.30360220350593,57.28013608163555,57.31424597959751,17367800
2016-11-08,58.31212615966797,58.70445501105802,57.69804395504418,57.77480097710308,15943900
2016-11-09,60.36758041381836,61.04136459886466,58.31211796946959,58.31211796946959,49750100
2016-11-10,61.032840728759766,61.47634742275309,60.60639548832508,61.356943275994425,28378900
2016-11-11,60.12024688720703,60.86226393220887,59.85585292605092,60.86226393220887,15866100
2016-11-14,59.9326057434082,60.45286940969437,59.81320160757571,60.38464312281679,17406200
2016-11-15,60.10319900512695,60.16290108424487,59.548818837867096,60.16290108424487,10371600
2016-11-16,59.84732818603515,60.23965705723491,59.7705711601006,59.949677394319714,7585000
2016-11-17,60.08613586425781,60.10319731897777,59.7193926722397,59.86438900920568,12856200
2016-11-18,59.446475982666016,60.29936663669014,59.41236608269963,60.13732183721227,12185000
2016-11-21,59.65967559814453,59.71937766058025,59.506155079447446,59.57438786709877,6791800
2016-11-22,58.79827499389648,59.63410406613448,58.39741540521491,59.63410406613448,14522100
2016-11-23,59.0285530090332,59.03708373633408,57.817450013842965,57.817450013842965,13676000
2016-11-25,59.25882339477539,59.30999473267185,59.028539360167606,59.19912133155057,4009300
2016-11-28,58.8153190612793,59.15647651026284,58.72150060013289,59.147945784603046,6507200
2016-11-29,59.199127197265625,59.369702678513114,58.94325746835689,58.951788194530515,7093900
2016-11-30,58.636207580566406,59.258820356881586,58.61062191292982,59.24175890709951,8640700
2016-12-01,58.20978546142578,58.84945343352936,58.039209938347135,58.70446358820861,11360700
2016-12-02,58.34624099731445,58.57651856435899,58.115956923231934,58.31212459718971,7964500
2016-12-05,58.243892669677734,58.670337917069986,58.05625571969906,58.58505016899915,5832100
2016-12-06,58.40594100952149,58.422995955462966,58.07330774680397,58.41446522897335,5490800
2016-12-07,57.902740478515625,57.945387609979704,57.118082713070535,57.945387609979704,12758900
2016-12-08,58.01361083984375,58.07331291651026,57.39100439846992,57.72363118376023,7586600
2016-12-09,58.72151184082031,58.83239177451136,58.21830955019852,58.21830955019852,12100200
2016-12-12,59.00297546386719,59.088263227512215,58.610646545468626,58.72151998750324,15018100
2016-12-13,59.48057556152344,59.565863301388525,59.04560613610027,59.21618161583044,11041400
2016-12-14,59.17353057861328,59.78761267628613,58.968838715068,59.47204740895321,11682200
2016-12-15,59.55735778808594,59.61705987544645,59.19914526392282,59.412367934073174,8210100
2016-12-16,59.60446548461914,59.85288958788415,59.43313513637541,59.69012739094874,8257100
2016-12-19,59.35604095458984,59.912853145105615,59.27894066453838,59.64729274113332,9318300
2016-12-20,59.313194274902344,59.51879064813003,59.176136561666986,59.381726399311574,4885000
2016-12-21,58.9791259765625,59.37317600638805,58.87633429479022,59.34747808594498,5432300
2016-12-22,59.056209564208984,59.07333932779601,58.66215964587528,58.90201554959291,4458400
2016-12-23,59.50166320800781,59.535929275314054,59.07334717005591,59.07334717005591,4188700
2016-12-27,59.62158203125,59.96423611617332,59.56161805655715,59.57875435537401,5141200
2016-12-28,59.16756439208984,59.750074338823545,59.15899624322507,59.68154221907072,4558800
2016-12-29,59.2703742980957,59.458834396910625,59.17614424868824,59.201842164784104,5539200
2016-12-30,59.056209564208984,59.338893144685784,58.86774948683565,59.27892916875638,6649000
2017-01-03,59.82718276977539,59.84431907171485,59.29607505016887,59.37316880214365,11792900
2017-01-04,60.29832077026367,60.461082927649514,59.92140063129981,59.92140063129981,9174500
2017-01-05,60.606727600097656,60.623857368284824,60.19554127217106,60.24694364790248,5979300
2017-01-06,60.778053283691406,60.9493836487294,60.40970116834118,60.6238592229498,5769300
2017-01-09,61.035064697265625,61.13786294851453,60.6667124664411,60.778072336936994,5751900
2017-01-10,61.24918365478515,61.600405886948394,61.000759608139134,61.137823855495434,10320500
2017-01-11,60.63240051269531,61.540428170558656,60.007062930213586,61.32627021082996,23742000
2017-01-12,60.6923828125,60.726648880676734,60.186973011957654,60.332598900020606,9358900
2017-01-13,60.752342224121094,60.95793861770302,60.60671634702171,60.74378060940966,5279000
2017-01-17,60.443965911865234,60.546764128626954,59.94712420314615,60.37544030294245,6038200
2017-01-18,60.36686325073242,60.700949236470414,60.24693528331797,60.56388496766301,6174200
